AGE,FITNESS_CLASS_NAME,GENDER,MARITAL_STATUS,PROFESSION,SIGN_UP_REASON
26.0,Bodybuilding Bootcamp,M,Single,Other,Lose Weight
33.0,Bodybuilding Bootcamp,M,Married,Other,Tone
33.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
19.0,Yoga,F,Single,Other,Tone
19.0,Yoga,F,Single,Other,Tone
26.0,Yoga,F,Married,Other,Tone
26.0,Yoga,F,Married,Other,Tone
40.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
40.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
40.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
40.0,Yoga,M,Single,Other,Tone
40.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
40.0,Bodybuilding Bootcamp,M,Single,Other,Tone
40.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
40.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
44.0,Yoga,M,Single,Other,Tone
44.0,Yoga,M,Single,Other,Tone
43.0,Bodybuilding Bootcamp,M,Married,Trades,Lose Weight
43.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
24.0,Zumba,F,Single,Retail,Lose Weight
28.0,Bodybuilding Bootcamp,M,Unspecified,Sales,Build Muscle
22.0,Zumba,F,Single,Professional,Lose Weight
20.0,Spin Class,F,Married,Retail,Lose Weight
46.0,Zumba,F,Married,Retail,Lose Weight
31.0,Bodybuilding Bootcamp,M,Unspecified,Sales,Build Muscle
31.0,Bodybuilding Bootcamp,M,Unspecified,Sales,Build Muscle
31.0,Bodybuilding Bootcamp,M,Unspecified,Sales,Build Muscle
31.0,Bodybuilding Bootcamp,M,Unspecified,Sales,Lose Weight
31.0,Bodybuilding Bootcamp,M,Unspecified,Sales,Build Muscle
23.0,Bodybuilding Bootcamp,F,Single,Student,Build Muscle
23.0,Zumba,F,Single,Student,Lose Weight
37.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
37.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
50.0,Zumba,F,Married,Other,Build Muscle
18.0,Zumba,F,Single,Student,Build Muscle
30.0,Yoga,M,Single,Trades,Tone
67.0,Yoga,F,Married,Other,Tone
30.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
24.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
31.0,Bodybuilding Bootcamp,F,Married,Other,Maintain
31.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
41.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
41.0,Bodybuilding Bootcamp,M,Married,Trades,Tone
25.0,Zumba,F,Single,Other,Lose Weight
23.0,Zumba,F,Single,Other,Build Muscle
25.0,Zumba,F,Single,Other,Lose Weight
30.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
49.0,Bodybuilding Bootcamp,M,Unspecified,Trades,Maintain
39.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
34.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
34.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
28.0,Zumba,M,Single,Student,Lose Weight
42.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
27.0,Zumba,F,Single,Other,Build Muscle
25.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
55.0,Pilates,M,Married,Other,Tone
27.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
27.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
19.0,Zumba,F,Single,Professional,Lose Weight
50.0,Yoga,M,Married,Professional,Tone
33.0,Yoga,F,Married,Other,Tone
33.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Sales,Tone
26.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
26.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
31.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
31.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
42.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
42.0,Spin Class,M,Married,Sales,Lose Weight
40.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
40.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
21.0,Zumba,F,Married,Other,Build Muscle
19.0,Yoga,F,Single,Other,Tone
43.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
43.0,Bodybuilding Bootcamp,F,Married,Other,Tone
31.0,Bodybuilding Bootcamp,F,Married,Other,Tone
31.0,Spin Class,F,Married,Other,Build Muscle
49.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
49.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
43.0,Pilates,M,Married,Trades,Tone
43.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
29.0,Bodybuilding Bootcamp,F,Single,Hospitality,Build Muscle
29.0,Bodybuilding Bootcamp,F,Single,Hospitality,Build Muscle
24.0,Bodybuilding Bootcamp,F,Single,Retail,Build Muscle
20.0,Yoga,M,Single,Other,Tone
20.0,Yoga,M,Single,Other,Tone
33.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
19.0,Yoga,M,Single,Other,Tone
27.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
27.0,Bodybuilding Bootcamp,M,Married,Executive,Tone
27.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
27.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
22.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
22.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
25.0,Zumba,F,Single,Retail,Lose Weight
39.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
28.0,Zumba,F,Single,Other,Build Muscle
20.0,Zumba,F,Single,Student,Lose Weight
46.0,Yoga,F,Married,Other,Tone
46.0,Yoga,F,Married,Other,Tone
22.0,Yoga,M,Single,Other,Tone
40.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
27.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
57.0,Zumba,F,Married,Retired,Build Muscle
27.0,Pilates,F,Single,Other,Tone
27.0,Yoga,F,Single,Other,Tone
21.0,Zumba,F,Single,Other,Maintain
25.0,Zumba,F,Married,Executive,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
39.0,Bodybuilding Bootcamp,M,Married,Executive,Maintain
39.0,Spin Class,M,Married,Executive,Maintain
33.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
23.0,Zumba,F,Single,Retail,Tone
44.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
31.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
31.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
23.0,Zumba,F,Single,Retail,Lose Weight
24.0,Zumba,M,Single,Student,Lose Weight
24.0,Zumba,M,Single,Student,Lose Weight
31.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
31.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
19.0,Zumba,F,Single,Retail,Lose Weight
33.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
33.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
41.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
25.0,Yoga,F,Married,Other,Tone
25.0,Yoga,F,Married,Other,Tone
43.0,Pilates,M,Single,Other,Tone
43.0,Zumba,M,Single,Other,Lose Weight
43.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
19.0,Yoga,M,Single,Other,Tone
19.0,Yoga,M,Single,Other,Tone
28.0,Yoga,M,Single,Sales,Lose Weight
28.0,Yoga,M,Single,Sales,Tone
27.0,Yoga,M,Single,Sales,Tone
38.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
38.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
37.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
34.0,Yoga,F,Married,Other,Tone
34.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
46.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
46.0,Spin Class,F,Married,Executive,Lose Weight
41.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
41.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
44.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
38.0,Zumba,F,Single,Retail,Lose Weight
31.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
31.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
27.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
27.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
45.0,Yoga,F,Married,Other,Tone
24.0,Zumba,M,Single,Student,Build Muscle
24.0,Zumba,M,Single,Student,Build Muscle
39.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
39.0,Yoga,M,Married,Other,Tone
28.0,Zumba,F,Single,Student,Lose Weight
28.0,Zumba,F,Single,Student,Tone
32.0,Pilates,M,Single,Other,Tone
32.0,Pilates,M,Single,Other,Tone
32.0,Pilates,M,Single,Other,Tone
52.0,Zumba,F,Unspecified,Hospitality,Build Muscle
37.0,Pilates,M,Unspecified,Trades,Tone
29.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
41.0,Yoga,M,Married,Professional,Tone
34.0,Zumba,F,Single,Retail,Lose Weight
50.0,Yoga,F,Married,Other,Tone
50.0,Yoga,F,Married,Other,Build Muscle
27.0,Yoga,M,Single,Trades,Build Muscle
27.0,Zumba,F,Single,Other,Lose Weight
19.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
23.0,Yoga,F,Married,Other,Tone
23.0,Spin Class,F,Married,Other,Maintain
36.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
27.0,Zumba,F,Single,Other,Build Muscle
23.0,Bodybuilding Bootcamp,F,Single,Hospitality,Build Muscle
27.0,Bodybuilding Bootcamp,M,Married,Other,Maintain
41.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
28.0,Spin Class,F,Single,Other,Lose Weight
31.0,Zumba,F,Married,Professional,Build Muscle
32.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
32.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
64.0,Yoga,F,Married,Other,Tone
27.0,Zumba,F,Single,Student,Lose Weight
29.0,Yoga,F,Married,Other,Tone
36.0,Bodybuilding Bootcamp,M,Married,Executive,Lose Weight
35.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Executive,Maintain
35.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
48.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
48.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
34.0,Bodybuilding Bootcamp,M,Married,Other,Lose Weight
34.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
22.0,Yoga,M,Single,Sales,Build Muscle
28.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
35.0,Zumba,F,Single,Professional,Lose Weight
38.0,Zumba,F,Married,Executive,Build Muscle
39.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
24.0,Zumba,F,Single,Student,Lose Weight
31.0,Zumba,F,Single,Other,Lose Weight
42.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
42.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
23.0,Bodybuilding Bootcamp,F,Single,Hospitality,Build Muscle
36.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
36.0,Spin Class,F,Married,Other,Lose Weight
22.0,Zumba,F,Single,Student,Lose Weight
26.0,Zumba,F,Single,Sales,Lose Weight
31.0,Yoga,M,Single,Trades,Tone
31.0,Yoga,M,Single,Trades,Tone
31.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
49.0,Zumba,F,Married,Professional,Build Muscle
22.0,Zumba,F,Single,Retail,Lose Weight
37.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
25.0,Zumba,M,Single,Other,Lose Weight
37.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
37.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
43.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
43.0,Bodybuilding Bootcamp,M,Married,Sales,Maintain
43.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
43.0,Yoga,M,Single,Other,Tone
43.0,Yoga,M,Single,Other,Lose Weight
43.0,Yoga,M,Single,Other,Maintain
43.0,Yoga,M,Single,Other,Maintain
35.0,Zumba,F,Married,Professional,Build Muscle
35.0,Zumba,F,Married,Professional,Build Muscle
49.0,Yoga,F,Married,Other,Tone
49.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
35.0,Zumba,F,Unspecified,Hospitality,Build Muscle
35.0,Zumba,F,Unspecified,Hospitality,Lose Weight
35.0,Yoga,F,Unspecified,Hospitality,Lose Weight
35.0,Zumba,F,Unspecified,Hospitality,Lose Weight
28.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
26.0,Bodybuilding Bootcamp,M,Married,Executive,Build Muscle
44.0,Pilates,M,Married,Other,Tone
28.0,Bodybuilding Bootcamp,M,Married,Other,Lose Weight
28.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
38.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
22.0,Zumba,M,Single,Professional,Lose Weight
22.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
24.0,Yoga,M,Single,Retail,Build Muscle
24.0,Yoga,M,Single,Retail,Tone
24.0,Yoga,M,Single,Retail,Tone
41.0,Zumba,F,Unspecified,Hospitality,Lose Weight
41.0,Spin Class,F,Unspecified,Hospitality,Lose Weight
29.0,Zumba,F,Single,Other,Lose Weight
65.0,Zumba,F,Unspecified,Hospitality,Lose Weight
42.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
40.0,Bodybuilding Bootcamp,F,Married,Sales,Lose Weight
37.0,Yoga,M,Unspecified,Trades,Tone
37.0,Pilates,M,Unspecified,Trades,Tone
37.0,Pilates,M,Unspecified,Trades,Tone
32.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
21.0,Bodybuilding Bootcamp,F,Single,Hospitality,Build Muscle
21.0,Bodybuilding Bootcamp,F,Single,Hospitality,Build Muscle
43.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
67.0,Yoga,F,Married,Other,Maintain
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
19.0,Yoga,M,Single,Student,Build Muscle
19.0,Zumba,M,Single,Student,Lose Weight
19.0,Zumba,M,Single,Student,Build Muscle
39.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
50.0,Pilates,M,Unspecified,Other,Tone
50.0,Pilates,M,Unspecified,Other,Tone
29.0,Yoga,M,Single,Trades,Tone
29.0,Yoga,M,Single,Trades,Tone
48.0,Zumba,F,Unspecified,Hospitality,Lose Weight
22.0,Zumba,F,Single,Retail,Build Muscle
37.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
23.0,Bodybuilding Bootcamp,M,Single,Executive,Build Muscle
23.0,Bodybuilding Bootcamp,M,Single,Executive,Build Muscle
37.0,Zumba,F,Married,Professional,Lose Weight
32.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
32.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
19.0,Zumba,F,Single,Other,Lose Weight
26.0,Zumba,F,Single,Other,Lose Weight
39.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
37.0,Bodybuilding Bootcamp,F,Married,Other,Maintain
37.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
20.0,Bodybuilding Bootcamp,F,Married,Retail,Build Muscle
51.0,Yoga,F,Married,Other,Tone
24.0,Zumba,F,Single,Professional,Lose Weight
38.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
38.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
38.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
38.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
36.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
36.0,Bodybuilding Bootcamp,M,Married,Trades,Build Muscle
44.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
20.0,Zumba,F,Single,Other,Build Muscle
31.0,Yoga,M,Single,Professional,Tone
31.0,Yoga,M,Single,Professional,Tone
46.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
46.0,Bodybuilding Bootcamp,F,Married,Hospitality,Build Muscle
32.0,Yoga,M,Single,Other,Tone
28.0,Yoga,M,Single,Trades,Tone
28.0,Yoga,M,Single,Trades,Tone
28.0,Yoga,M,Single,Trades,Tone
37.0,Bodybuilding Bootcamp,F,Married,Other,Maintain
37.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
37.0,Spin Class,F,Married,Other,Lose Weight
33.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
29.0,Zumba,F,Single,Retail,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Other,Maintain
35.0,Bodybuilding Bootcamp,M,Married,Other,Tone
28.0,Zumba,F,Single,Professional,Lose Weight
32.0,Yoga,M,Married,Professional,Tone
31.0,Pilates,M,Single,Other,Tone
31.0,Pilates,M,Single,Other,Tone
22.0,Zumba,F,Single,Professional,Build Muscle
26.0,Yoga,M,Single,Sales,Tone
44.0,Pilates,M,Married,Trades,Tone
30.0,Yoga,M,Married,Professional,Tone
28.0,Zumba,F,Single,Retail,Build Muscle
28.0,Zumba,F,Married,Executive,Lose Weight
29.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
29.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
35.0,Bodybuilding Bootcamp,M,Married,Sales,Build Muscle
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
21.0,Zumba,M,Single,Student,Maintain
29.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
46.0,Yoga,M,Married,Professional,Tone
46.0,Yoga,M,Married,Professional,Tone
46.0,Yoga,M,Married,Professional,Tone
31.0,Bodybuilding Bootcamp,M,Unspecified,Professional,Build Muscle
22.0,Bodybuilding Bootcamp,M,Single,Sales,Build Muscle
22.0,Bodybuilding Bootcamp,M,Single,Sales,Build Muscle
35.0,Zumba,F,Married,Professional,Lose Weight
32.0,Bodybuilding Bootcamp,F,Married,Executive,Build Muscle
39.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
39.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
19.0,Bodybuilding Bootcamp,M,Single,Sales,Build Muscle
26.0,Zumba,F,Single,Other,Lose Weight
42.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
42.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
41.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
41.0,Spin Class,F,Married,Other,Lose Weight
24.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
48.0,Yoga,F,Married,Other,Tone
41.0,Yoga,M,Married,Professional,Tone
41.0,Yoga,M,Married,Professional,Tone
46.0,Zumba,F,Married,Other,Build Muscle
39.0,Bodybuilding Bootcamp,F,Married,Other,Build Muscle
20.0,Zumba,F,Single,Other,Lose Weight
19.0,Bodybuilding Bootcamp,F,Single,Other,Build Muscle
42.0,Bodybuilding Bootcamp,F,Married,Sales,Build Muscle
32.0,Zumba,F,Married,Professional,Lose Weight
21.0,Zumba,F,Single,Other,Lose Weight
25.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
25.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
48.0,Zumba,F,Married,Professional,Lose Weight
30.0,Bodybuilding Bootcamp,M,Single,Other,Build Muscle
30.0,Bodybuilding Bootcamp,M,Single,Other,Lose Weight
27.0,Bodybuilding Bootcamp,M,Single,Professional,Build Muscle
49.0,Yoga,M,Married,Professional,Tone
49.0,Yoga,M,Married,Professional,Maintain
49.0,Yoga,M,Married,Professional,Tone
40.0,Bodybuilding Bootcamp,M,Married,Other,Build Muscle
38.0,Zumba,F,Unspecified,Hospitality,Build Muscle
